,Entry_Datetime,Future_Traded_Price,ATM,Days_to_Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_Price,CE_Exit_Datetime,PE_Symbol,PE_Entry_Price,PE_Exit_Price,PE_Exit_Datetime,PnL
64,2021-04-20 09:19:00,31525.7,32000,2,BANKNIFTY22APR2132000CE,135.9,176.67000000000002,2021-04-20 09:22:00,BANKNIFTY22APR2130800PE,154.8,154.8,2021-04-20 11:25:00,-40.77000000000001
65,2021-04-22 09:19:00,30698.15,30800,0,BANKNIFTY22APR2130800CE,137.25,178.425,2021-04-22 09:21:00,BANKNIFTY22APR2130500PE,151.05,0.25,2021-04-22 15:15:00,109.625
66,2021-04-23 09:19:00,31699.0,33000,6,BANKNIFTY29APR2133000CE,147.75,192.075,2021-04-23 10:28:00,BANKNIFTY29APR2129900PE,152.8,152.8,2021-04-23 14:42:00,-44.32499999999999
67,2021-04-26 09:19:00,32259.8,33200,3,BANKNIFTY29APR2133200CE,147.55,191.815,2021-04-26 09:26:00,BANKNIFTY29APR2131000PE,156.45,156.45,2021-04-26 14:35:00,-44.264999999999986
68,2021-04-27 09:19:00,32325.45,33000,2,BANKNIFTY29APR2133000CE,151.35,196.755,2021-04-27 12:00:00,BANKNIFTY29APR2131400PE,152.5,62.0,2021-04-27 15:15:00,45.095
69,2021-04-28 09:19:00,32954.0,33300,1,BANKNIFTY29APR2133300CE,148.8,193.44,2021-04-28 09:34:00,BANKNIFTY29APR2132500PE,155.9,30.7,2021-04-28 15:15:00,80.56000000000002
70,2021-04-29 09:19:00,34160.0,34300,0,BANKNIFTY29APR2134300CE,155.9,202.67000000000002,2021-04-29 09:20:00,BANKNIFTY29APR2134000PE,145.1,145.1,2021-04-29 09:42:00,-46.77000000000001
71,2021-04-30 09:19:00,33210.0,34600,6,BANKNIFTY06MAY2134600CE,157.4,88.6,2021-04-30 15:15:00,BANKNIFTY06MAY2131200PE,154.9,156.25,2021-04-30 15:15:00,67.45000000000002
72,2021-05-03 09:19:00,32328.25,33300,3,BANKNIFTY06MAY2133300CE,156.3,203.19,2021-05-03 10:45:00,BANKNIFTY06MAY2130700PE,144.45,144.45,2021-05-03 13:21:00,-46.889999999999986
73,2021-05-04 09:19:00,32905.0,33500,2,BANKNIFTY06MAY2133500CE,153.2,153.2,2021-05-04 09:57:00,BANKNIFTY06MAY2132000PE,158.65,206.245,2021-05-04 09:46:00,-47.595
74,2021-05-05 09:19:00,32643.65,33100,1,BANKNIFTY06MAY2133100CE,159.1,159.1,2021-05-05 09:28:00,BANKNIFTY06MAY2131900PE,156.95,204.03499999999997,2021-05-05 09:22:00,-47.08499999999998
75,2021-05-06 09:19:00,32912.05,32900,0,BANKNIFTY06MAY2132900CE,167.65,1.75,2021-05-06 15:15:00,BANKNIFTY06MAY2132600PE,147.15,191.29500000000002,2021-05-06 11:13:00,121.755
